"","MONTH","BOROUGH","COMMUNITYDISTRICT","REFUSETONSCOLLECTED","PAPERTONSCOLLECTED","MGPTONSCOLLECTED","RESORGANICSTONS","SCHOOLORGANICTONS","LEAVESORGANICTONS","XMASTREETONS","BOROUGH_ID"
"2580","2020 / 01","Queens","01",3935.7,662.1,696.1,NA,NA,NA,42,4
"2581","2020 / 01","Brooklyn","16",2022.3,125.5,188,23.7,NA,9.2,3.8,3
"2582","2020 / 01","Queens","02",2927,461.1,438.2,75,66.8,NA,22.8,4
"2583","2020 / 01","Brooklyn","02",2450.4,582.7,463.8,80.7,42.1,NA,52.5,3
"2584","2020 / 01","Staten Island","02",3946.9,586,534.8,NA,46.2,NA,26.7,5
"2585","2020 / 02","Brooklyn","14",4062.5,429.5,360.5,NA,58.4,NA,NA,3
"2586","2020 / 02","Brooklyn","05",3871.4,212,343.6,NA,NA,NA,NA,3
"2587","2020 / 02","Bronx","04",3589.5,212.3,335.3,11.6,NA,NA,NA,2
"2588","2020 / 02","Brooklyn","02",2255,479.1,382.4,62,27.6,NA,NA,3
"2589","2020 / 02","Brooklyn","16",1796.4,94.7,146.8,18,NA,NA,NA,3
"2590","2020 / 02","Queens","14",2367,212.7,234,49.8,NA,NA,NA,4
"2591","2020 / 03","Queens","11",2685.3,459.8,468.4,137.6,38.7,NA,NA,4
"2592","2020 / 03","Brooklyn","03",3943.5,392.5,408.3,NA,NA,NA,NA,3
"2593","2020 / 03","Queens","04",3948.8,315.7,428,NA,NA,NA,NA,4
"2594","2020 / 03","Brooklyn","07",3052.6,421.9,425.8,57.1,68.5,NA,NA,3
"2595","2020 / 03","Bronx","05",3391.8,206.3,335.9,NA,NA,NA,NA,2
"2596","2020 / 04","Brooklyn","02",2007.9,450.1,466,81.2,NA,NA,NA,3
"2597","2020 / 04","Brooklyn","06",1865,500.2,479.3,105.5,NA,NA,NA,3
"2598","2020 / 04","Queens","01",3888.5,607.4,768.9,NA,NA,NA,NA,4
"2599","2020 / 04","Manhattan","08",3609.6,856.8,790.8,10.8,NA,NA,NA,1
"2600","2020 / 04","Manhattan","02",1259.9,316.3,308.2,NA,NA,NA,NA,1
"2601","2020 / 04","Queens","03",4465.5,335.6,567.5,NA,NA,NA,NA,4
"2602","2020 / 04","Bronx","02",1480.8,102,170.9,NA,NA,NA,NA,2
"2603","2020 / 05","Manhattan","11",2158.3,218.7,219.7,NA,NA,NA,NA,1
"2604","2020 / 05","Queens","13",6563.7,474,1065.8,19.3,NA,NA,NA,4
"2605","2020 / 05","Bronx","01",2225.8,150.9,159.2,0.4,NA,NA,NA,2
"2606","2020 / 05","Manhattan","03",2674.8,292,346.9,NA,NA,NA,NA,1
"2607","2020 / 05","Staten Island","01",6495.4,651.4,925.8,12.3,NA,NA,NA,5
"2608","2020 / 05","Brooklyn","07",3395.3,415.9,440,1.3,NA,NA,NA,3
"2609","2020 / 06","Brooklyn","17",5294.7,392.5,607.7,NA,NA,NA,NA,3
"2610","2020 / 06","Bronx","11",3745.5,345.4,521.1,NA,NA,NA,NA,2
"2611","2020 / 06","Brooklyn","06",2357.8,544.4,488,NA,NA,NA,NA,3
"2612","2020 / 06","Queens","04",4630.9,402.8,573.4,NA,NA,NA,NA,4
"2613","2020 / 06","Brooklyn","04",3813,373,501.8,NA,NA,NA,NA,3
"2614","2020 / 06","Bronx","01",2430.3,207.1,209.4,NA,NA,NA,NA,2
"2615","2020 / 07","Staten Island","03",6772.4,900.7,960.4,NA,NA,NA,NA,5
"2616","2020 / 07","Brooklyn","18",6732.9,679.8,857.7,NA,NA,NA,NA,3
"2617","2020 / 07","Brooklyn","10",3906.2,532.2,555,NA,NA,NA,NA,3
"2618","2020 / 07","Manhattan","06",2670.1,528.7,456.1,NA,NA,NA,NA,1
"2619","2020 / 07","Brooklyn","15",4937.5,599.2,598.6,NA,NA,NA,NA,3
"2620","2020 / 07","Manhattan","10",3011.6,326.4,325.3,NA,NA,NA,NA,1
"2621","2020 / 07","Manhattan","03",3056.7,380.5,394.2,NA,NA,NA,NA,1
"2622","2020 / 07","Queens","09",4904.7,517,770.5,NA,NA,NA,NA,4
"2623","2020 / 07","Bronx","05",4120.4,331.8,435.4,NA,NA,NA,NA,2
"2624","2020 / 08","Brooklyn","10",3815.1,484.6,515.6,NA,NA,NA,NA,3
"2625","2020 / 08","Brooklyn","14",5137.8,474.8,506.7,NA,NA,NA,NA,3
"2626","2020 / 08","Brooklyn","07",3722.6,424.6,457.7,NA,NA,NA,NA,3
"2627","2020 / 08","Manhattan","08",4348.4,866.6,722.1,NA,NA,NA,NA,1
"2628","2020 / 08","Brooklyn","01",5249.8,745.7,588.6,NA,NA,NA,NA,3
"2629","2020 / 08","Bronx","11",3655.9,281.5,468,NA,NA,NA,NA,2
"2630","2020 / 08","Staten Island","02",5021.5,533.7,710.5,NA,NA,NA,NA,5
"2631","2020 / 08","Manhattan","03",3037.6,345.7,332.7,NA,NA,NA,NA,1
"2632","2020 / 08","Queens","06",3180.1,421.7,424.6,NA,NA,NA,NA,4
"2633","2020 / 09","Queens","13",6561.8,520,985.4,NA,NA,NA,NA,4
"2634","2020 / 09","Bronx","11",3443.4,281.5,447.6,NA,NA,NA,NA,2
"2635","2020 / 09","Brooklyn","13",2349.3,204.3,261.1,NA,NA,NA,NA,3
"2636","2020 / 10","Manhattan","03",2911,413.2,359.6,NA,NA,NA,NA,1
"2637","2020 / 10","Manhattan","06",2851.2,621.8,482.4,NA,NA,NA,NA,1
"2638","2020 / 10","Bronx","02",1736.9,157.1,199.5,NA,NA,NA,NA,2
"2639","2020 / 11","Bronx","12",4292.3,385.7,571.6,NA,NA,NA,NA,2
"2640","2020 / 11","Queens","07",7212,760.5,760.6,NA,NA,NA,NA,4
"2641","2020 / 11","Brooklyn","12",6513.2,655.3,359.1,NA,NA,NA,NA,3
"2642","2020 / 11","Queens","01",4221.7,641.8,657,NA,NA,NA,NA,4
"2643","2020 / 11","Queens","04",4148.6,335.9,546.4,NA,NA,NA,NA,4
"2644","2020 / 11","Manhattan","12",4980.6,432.5,474.8,NA,NA,NA,NA,1
"2645","2020 / 11","Manhattan","06",2567.4,456.3,356,NA,NA,NA,NA,1
"2646","2020 / 11","Brooklyn","02",2638.5,500.7,422.8,NA,NA,NA,NA,3
"2647","2020 / 12","Queens","07",6902.1,949.7,896.9,NA,NA,NA,NA,4
"2648","2020 / 12","Manhattan","11",2322.7,276.6,235.9,NA,NA,NA,NA,1
"2649","2020 / 12","Bronx","12",4174,488.3,684.6,NA,NA,NA,NA,2
"2650","2020 / 12","Queens","05",5191.7,794.5,918.7,NA,NA,NA,NA,4
"2651","2020 / 12","Manhattan","10",2843.8,368.7,322.5,NA,NA,13.5,NA,1
"2652","2020 / 12","Manhattan","07",4467.1,1168.4,844,NA,NA,NA,NA,1
"2653","2020 / 12","Manhattan","01",1252.2,401.5,268.2,NA,NA,NA,NA,1
"2854","2020 / 11","Queens","7A",NA,NA,NA,NA,NA,4.5,NA,NA
"5397","2020 / 01","Brooklyn","05",4358.6,288.2,459.3,NA,NA,NA,4.6,3
"5398","2020 / 01","Queens","03",4658.7,410.6,540.7,NA,NA,NA,29.5,4
"5399","2020 / 01","Brooklyn","18",5060.7,591.8,644.6,NA,NA,NA,13.8,3
"5400","2020 / 01","Brooklyn","07",3132.2,444.3,435.2,58.5,132.5,NA,28.2,3
"5401","2020 / 01","Queens","07",6075.7,843.4,788.1,109.9,NA,NA,82.8,4
"5402","2020 / 01","Queens","11",2615.7,497.4,456.6,120.5,82.1,NA,35,4
"5403","2020 / 01","Bronx","11",2821.3,312.8,374.3,57.2,NA,NA,17.2,2
"5404","2020 / 01","Queens","04",3990.8,383.7,487.1,NA,NA,NA,15.2,4
"5405","2020 / 01","Bronx","04",3877.7,236.8,388,14.6,NA,NA,6.2,2
"5406","2020 / 01","Manhattan","03",2857,381.9,365.6,NA,53.9,NA,20,1
"5407","2020 / 01","Manhattan","05",1285.2,298.7,201,NA,NA,NA,22.4,1
"5408","2020 / 01","Brooklyn","06",2081.9,611.8,473.8,115.5,52.1,NA,70.6,3
"5409","2020 / 01","Bronx","09",3664.2,237,365.6,NA,NA,NA,14.7,2
"5410","2020 / 02","Staten Island","03",4510.2,632,579.9,NA,25,NA,NA,5
"5411","2020 / 02","Manhattan","02",1717.3,412.4,310,NA,22.9,NA,NA,1
"5412","2020 / 02","Manhattan","07",4253.6,1017.3,758.6,36.2,37.1,NA,NA,1
"5413","2020 / 02","Bronx","12",3081.5,302.5,502.5,104.3,NA,NA,NA,2
